,,RMSE_RF,RMSE_BR,RMSE_KRR,RMSE_MLP,,PCC_RF,PCC_BR,PCC_KRR,PCC_KRL,PCC_MLP,,SCC_RF,SCC_BR,SCC_KRR,SCC_KRL,SCC_MLP,NDCG@k,NDCG_Pathway,NDCG_RF,NDCG_BR,NDCG_KRR,NDCG_KRL,NDCG
0,,1.889743344,2.123381692,1.882637084,3.537095162,,0.347476034,0.183971881,0.390927935,0.0630790516,-0.0329709342,,0.332683793,0.166020213,0.35655496,0.0386513987,-0.037134891,1,0.868119069,0.907497948,0.892424597,0.856389118,0.890113368,0.730069373
1,,1.71093857,1.873324505,1.878980787,1.968961967,,0.398242819,0.338571734,0.396636412,0.324546185,0.213023872,,0.415438892,0.378305901,0.441662827,0.341488087,0.247494769,2,0.881727963,0.903286807,0.891275776,0.855780049,0.881541953,0.740909486
2,,2.546348918,2.815617285,2.909505694,4.921396311,,0.290573985,0.168366358,0.249268746,0.204583471,0.0212322751,,0.273273478,0.15397085,0.243577311,0.192480851,0.00678526428,5,0.88691297,0.900780297,0.886106832,0.864173703,0.880304678,0.732890947
3,,3.283388454,3.549882785,3.459131411,4.686828003,,0.361342464,0.273627127,0.367892359,0.288174433,0.174057221,,0.367356331,0.259877705,0.365684126,0.256560731,0.177163218,10,0.890612021,0.899337343,0.884354287,0.869083965,0.880136353,0.746393322
4,,7.012299185,7.687665427,7.621476434,9.496871659,,0.394214657,0.259384315,0.351765316,0.280554283,0.124864223,,0.396776376,0.255675517,0.363408867,0.293233319,0.136468381,20,0.890072161,0.898697636,0.882891638,0.873042993,0.878930888,0.768284904
5,,2.153244567,2.311383259,2.347874521,2.630151157,,0.35107544,0.258903833,0.328029152,0.00155449571,0.0161951797,,0.332491509,0.246905056,0.322966166,0.00965273855,0.02739941,50,0.897113956,0.90108778,0.887360226,0.88326522,0.879984372,0.801192765
6,,1.976304725,2.219356241,2.624769673,2.726275068,,0.378754653,0.24521513,0.217479927,0.041238754,0.0932977017,,0.392473019,0.241025958,0.212190736,0.0614209629,0.110888196,,,,,,,
7,,0.635484301,0.698620186,0.752739998,0.97751273,,0.224674058,0.170909622,0.245193141,-0.241318357,0.02343076,,0.271841724,0.20504268,0.246181124,-0.265618623,0.0468135162,,,,,,,
8,,0.407430272,0.442021795,0.500992889,0.722541448,,0.391811642,0.334878591,0.323353258,0.108335185,0.193599846,,0.447426685,0.416780002,0.404114093,0.149013375,0.194934279,,,,,,,
9,,1.637826494,1.775617631,1.838131852,1.92469826,,0.313211518,0.255261023,0.316098359,0.176276053,0.0466615781,,0.289044421,0.244054569,0.293475796,0.156262075,0.040846986,,,,,,,
10,,1.489174161,1.610153671,1.731795328,7.621584985,,0.527077908,0.476131403,0.453490268,0.455344095,0.315722022,,0.471126106,0.444769711,0.463310063,0.425638154,0.321715111,,,,,,,
11,,1.288703747,1.519102349,1.495120021,1.734347012,,0.440480535,0.26397362,0.358738982,0.241921164,0.173491724,,0.426785463,0.255047652,0.344570711,0.251600358,0.162233402,,,,,,,
12,,0.689706625,0.781308151,0.775656093,1.01346403,,0.439887002,0.333996203,0.409108203,0.145487682,0.180173037,,0.431622071,0.328899463,0.409916399,0.0726628268,0.157601793,,,,,,,
13,,2.418463391,2.627981845,2.464526346,3.773387801,,0.580913767,0.461060872,0.523394052,-0.0018384721,0.194385188,,0.414060105,0.32628922,0.406617902,0.0712580292,0.111455429,,,,,,,
14,,1.247622384,1.419036467,1.332721079,1.635935524,,0.446685073,0.325419215,0.431928802,0.267978601,0.162162658,,0.426463884,0.319232276,0.429401604,0.272749514,0.172063082,,,,,,,
15,,0.936515516,1.044877547,1.217158301,2.611503044,,0.264609533,0.164393881,0.184258186,-0.062809349,0.0644918486,,0.299757537,0.180939055,0.209088072,-0.104519001,0.0812494213,,,,,,,
16,,0.843098445,0.897701539,1.035985058,1.499906475,,0.342870834,0.287503817,0.289733346,0.00583522329,0.149272617,,0.319936671,0.296820315,0.280745437,0.020167528,0.146640024,,,,,,,
17,,2.488715322,2.592631696,2.529296211,5.881738596,,0.49123384,0.432621949,0.479108175,0.138405697,0.132767352,,0.453782147,0.401483162,0.463527646,0.170709703,0.120650602,,,,,,,
18,,1.712221906,1.931737792,2.00565538,3.568439793,,0.329944209,0.184569144,0.289147806,0.0794166943,0.0411541633,,0.317880603,0.197645971,0.28084552,0.112924043,0.0536019983,,,,,,,
19,,2.281351069,2.472394294,2.7229222,9.577604116,,0.218790494,0.174171443,0.19277186,0.104313113,0.0749802147,,0.193708997,0.16433429,0.164543487,0.0599531536,0.0867996612,,,,,,,
20,,1.686943087,1.917565525,1.938302193,2.73430678,,0.40857974,0.310303468,0.368346201,0.346206743,0.0971435839,,0.372999167,0.285191244,0.342400143,0.284157604,0.108819545,,,,,,,
21,,0.493127762,0.555785714,0.659549467,2.596161635,,0.247159692,0.18752969,0.156403092,-0.0190902244,0.0918045002,,0.295918598,0.187043496,0.198998597,-0.0303589617,0.098211536,,,,,,,
22,,1.550090298,1.735727428,1.789695298,2.384206294,,0.368495315,0.220320534,0.298074561,0.275895612,-0.0222422172,,0.413534758,0.223089853,0.304653401,0.279958711,-0.00224091394,,,,,,,
23,,1.931625241,2.10880881,2.091106991,4.482072963,,0.268571887,0.178986569,0.287888366,0.205338302,-0.0223615038,,0.263830129,0.182158475,0.224839063,0.0916891595,0.0095906653,,,,,,,
24,,1.006515515,1.092615239,1.206152159,1.439560505,,0.490787102,0.443454078,0.411589125,0.405758757,0.265166074,,0.454624261,0.393168436,0.364033956,0.377121098,0.249372323,,,,,,,
25,,0.90098207,1.007086935,1.039280159,1.324081548,,0.324175243,0.213832703,0.296824536,0.21923053,0.0788062121,,0.298380516,0.192469609,0.284698596,0.210263009,0.0793679688,,,,,,,
26,,1.488954465,1.623868955,1.592266949,2.521298598,,0.365939093,0.253656116,0.344474775,0.134668955,0.0372026304,,0.322179678,0.217890347,0.305493934,0.133284512,0.0145830282,,,,,,,
27,,1.22923775,1.381506753,1.444357078,1.954527706,,0.452745749,0.357215183,0.375553015,0.420529503,0.241896758,,0.385442072,0.316460489,0.335519189,0.380287622,0.231552572,,,,,,,
28,,1.976060783,2.10426501,2.16901464,2.405310969,,0.463008394,0.411221445,0.45529401,0.424203742,0.344399242,,0.443584923,0.40646297,0.43483178,0.393687537,0.315542628,,,,,,,
29,,2.389135691,2.50745785,2.602447724,6.128918372,,0.311965455,0.26467525,0.311514723,0.0103883076,0.0488131948,,0.308378493,0.238065547,0.292381032,0.0242406489,0.0629966732,,,,,,,
30,,2.002431045,2.242095649,2.406318239,3.587477608,,0.387401382,0.283748582,0.323744131,0.280502825,0.0970853797,,0.372084249,0.270239291,0.31258981,0.272918434,0.108694304,,,,,,,
31,,2.173063557,2.310162638,2.491369581,2.964899226,,0.506502586,0.469951647,0.487344278,0.382992601,0.276639021,,0.456785282,0.424554433,0.433371387,0.366401554,0.269463502,,,,,,,
32,,4.078446713,4.422795011,4.557495355,9.373688553,,0.259264086,0.175671585,0.235686405,-0.0333082845,0.0605149167,,0.267748423,0.195477918,0.246948633,0.0857405227,0.067422944,,,,,,,
33,,2.88370255,2.922408974,2.877720525,8.680144734,,0.387159698,0.358966991,0.428165456,0.136030348,0.0139484611,,0.407900739,0.338851575,0.426998375,0.130494703,0.016482888,,,,,,,
34,,2.591121857,2.805696295,2.783875469,4.648470506,,0.264747167,0.180704171,0.314894245,0.0673778785,0.0767930561,,0.232290531,0.158880992,0.279771431,0.0830743639,0.0606269801,,,,,,,
35,,2.163074782,2.360708053,2.150512019,2.94635929,,0.265881648,0.186019039,0.35998776,0.00018732321,0.00524294648,,0.233232865,0.133640236,0.317876195,0.00706471801,0.00350487466,,,,,,,
36,,0.948141169,1.064436493,1.088753981,3.491793699,,0.318664327,0.201504183,0.279514251,0.0867782522,0.124683095,,0.289182714,0.178419167,0.27541648,0.0374944021,0.139587252,,,,,,,
37,,0.511257479,0.574688778,0.599621702,1.176455325,,0.22070345,0.142189084,0.226002232,-0.0850782388,0.141503369,,0.224311092,0.150223533,0.234688536,-0.0801679465,0.177244227,,,,,,,
38,,0.641311262,0.680357526,0.732088049,1.12496043,,0.383486114,0.309726114,0.286076514,-0.27029251,0.161070674,,0.439938228,0.375089416,0.363262122,-0.253507606,0.144216704,,,,,,,
39,,2.411090467,2.531448924,2.819961697,3.606105067,,0.430228405,0.346018633,0.301189374,0.207573071,0.114992819,,0.427378912,0.346695867,0.257731623,0.22719482,0.0928012269,,,,,,,
40,,3.537027313,3.836054648,4.381352277,7.856846429,,0.380502994,0.30679423,0.266135756,0.284451435,0.106132811,,0.344795558,0.288658657,0.27104405,0.246564792,0.115999467,,,,,,,
41,,0.658656429,0.726725112,0.80576639,1.092440822,,0.18774632,0.104316798,0.172818536,-0.130474095,-0.0305353996,,0.239555328,0.113847961,0.172780072,-0.0699056347,-0.0164406035,,,,,,,
